Symbol,Date,Open,High,Low,Close,Adj Close,Volume
JPM,2/1/2019,104,104.849998,103.519997,103.879997,100.905136,13000800
JPM,2/4/2019,103.790001,104.25,103.010002,104.25,101.264542,9871500
JPM,2/5/2019,104.519997,104.550003,103.290001,103.790001,100.817719,12763000
JPM,2/6/2019,103.709999,104.620003,103.470001,103.739998,100.76915,8745000
JPM,2/7/2019,103.25,103.5,101.440002,102.379997,99.44809,13177500
JPM,2/8/2019,102.080002,102.339996,100.059998,101.360001,98.457306,12892600
JPM,2/11/2019,101.760002,102.010002,100.769997,100.879997,97.991051,10978500
JPM,2/12/2019,101.949997,102.919998,101.889999,102.599998,99.661789,12852300
JPM,2/13/2019,102.900002,103.849998,102.900002,103.089996,100.137756,10754100
JPM,2/14/2019,102.470001,103.099998,101.349998,102.419998,99.486946,11518500
JPM,2/15/2019,103.900002,105.699997,103.660004,105.550003,102.527313,14716900
JPM,2/19/2019,104.910004,105.370003,103.809998,105.18,102.167908,12764900
JPM,2/20/2019,105.209999,105.800003,104.879997,105.690002,102.663307,10030300
JPM,2/21/2019,105.449997,105.989998,104.959999,105.470001,102.4496,8400100
JPM,2/22/2019,105.699997,106.089996,104.779999,105,101.993065,10647300
JPM,2/25/2019,105.75,107.269997,105.690002,106.099998,103.061554,11230700
JPM,2/26/2019,104.5,105.470001,103.940002,105.290001,102.274757,15465400
JPM,2/27/2019,105.18,105.379997,104.510002,105.160004,102.148476,9968800
JPM,2/28/2019,105.010002,105.209999,104.18,104.360001,101.371384,15156900
JPM,3/1/2019,105.099998,105.910004,104.199997,104.43,101.439392,13813300
JPM,3/4/2019,104.919998,105.919998,103.269997,104.190002,101.206261,12466300
JPM,3/5/2019,104.129997,104.550003,103.260002,104.110001,101.128548,10856600
JPM,3/6/2019,103.860001,104.57,103.550003,103.720001,100.749718,9070800
JPM,3/7/2019,103.25,103.470001,102.160004,102.970001,100.021194,12705700
JPM,3/8/2019,101.989998,103.230003,101.989998,103.010002,100.060051,10582400
JPM,3/11/2019,103.980003,104.550003,103.660004,104.349998,101.361679,9763200
JPM,3/12/2019,104.589996,104.790001,103.75,104.040001,101.060562,10219100
JPM,3/13/2019,104.190002,104.980003,103.949997,104.389999,101.400528,13022200
JPM,3/14/2019,104.5,105.870003,104.459999,105.339996,102.323326,10926500
JPM,3/15/2019,105.410004,106.800003,105.230003,106.550003,103.49868,24811700
JPM,3/18/2019,106.550003,107.790001,106.5,107.190002,104.120346,12935500
JPM,3/19/2019,108.199997,108.400002,106.550003,106.800003,103.741516,12889300
JPM,3/20/2019,106.43,106.650002,104.410004,104.519997,101.526802,14920700
JPM,3/21/2019,103.489998,103.489998,102.279999,102.870003,99.924065,19751000
JPM,3/22/2019,101.82,102.32,99.519997,99.760002,96.903122,31115200
JPM,3/25/2019,99.589996,100.57,98.089996,98.93,96.096886,21032300
JPM,3/26/2019,99.82,100.400002,98.82,99.919998,97.058548,15987100
JPM,3/27/2019,99.879997,100.449997,99.080002,99.580002,96.728279,12753200
JPM,3/28/2019,100,100.800003,99.739998,100.709999,97.82592,12454100
JPM,3/29/2019,101.540001,101.989998,100.589996,101.230003,98.331032,14523400
JPM,4/1/2019,102.150002,104.68,102.120003,104.639999,101.643372,17499300
JPM,4/2/2019,104.599998,105.440002,104.330002,105.139999,102.129059,10295400
JPM,4/3/2019,105.809998,106.360001,104.790001,105.349998,102.333046,11499200
JPM,4/4/2019,104.550003,105.730003,104.449997,105.559998,103.321625,11952100
JPM,4/5/2019,105.800003,106.110001,104.989998,105.309998,103.076927,9933700
JPM,4/8/2019,105.110001,105.650002,104.910004,105.650002,103.409721,8056300
JPM,4/9/2019,105.080002,105.199997,104.25,104.870003,102.646263,9092200
JPM,4/10/2019,105.129997,105.720001,104.470001,105.339996,103.106293,10882300
JPM,4/11/2019,105.709999,106.730003,105.559998,106.230003,103.977425,11183800
JPM,4/12/2019,109.440002,111.849998,108.879997,111.209999,108.851814,25834100
JPM,4/15/2019,110.919998,111,109.120003,109.940002,107.608749,15163800
JPM,4/16/2019,109.900002,111.389999,109.860001,111.099998,108.744148,11583200
JPM,4/17/2019,111.699997,114.660004,111.010002,114.300003,111.876289,17791900
JPM,4/18/2019,114.529999,114.949997,113.330002,113.459999,111.054108,12501900
JPM,4/22/2019,112.830002,113.93,112.660004,113.599998,111.191139,7975900
JPM,4/23/2019,113,114.370003,112.849998,113.739998,111.328171,9193100
JPM,4/24/2019,113.260002,114.150002,112.809998,113.550003,111.142204,9245700
JPM,4/25/2019,113.010002,114.150002,112.5,113.610001,111.200928,9311800
JPM,4/26/2019,113.949997,114.580002,113.599998,114.470001,112.042694,7889300
JPM,4/29/2019,114.599998,117.160004,114.449997,116.120003,113.657707,14242200
JPM,4/30/2019,116.43,116.720001,115.260002,116.050003,113.589188,11389100
JPM,5/1/2019,115.720001,117,115.110001,115.160004,112.718063,10412900
JPM,5/2/2019,115.169998,115.779999,114.580002,115.410004,112.962761,8613300
JPM,5/3/2019,116,116.68,115.669998,116.120003,113.657707,8185400
JPM,5/6/2019,114.18,115.470001,113.720001,115.089996,112.649544,9387000
JPM,5/7/2019,114.029999,114.029999,112.290001,113.209999,110.80941,15017700
JPM,5/8/2019,112.660004,113.669998,112.459999,112.610001,110.22213,9575800
JPM,5/9/2019,111.139999,112.739998,110.580002,112.519997,110.134041,12205900
JPM,5/10/2019,111.75,112.839996,110.540001,112.510002,110.124252,13189000
JPM,5/13/2019,110.080002,110.449997,108.980003,109.449997,107.129143,13783700
JPM,5/14/2019,109.550003,111.720001,109.5,110.32,107.98069,10503600
JPM,5/15/2019,109.209999,110.900002,108.610001,109.900002,107.569595,10142000
JPM,5/16/2019,110.620003,112.169998,110.589996,111.309998,108.949692,9672700
JPM,5/17/2019,110,111.75,109.830002,110.769997,108.421143,9570100
JPM,5/20/2019,110.580002,111.809998,110.370003,111.349998,108.988846,8518200
JPM,5/21/2019,111.440002,111.919998,111.220001,111.730003,109.360794,7967900
JPM,5/22/2019,111.400002,111.790001,110.75,110.82,108.470085,7918900
JPM,5/23/2019,109.639999,109.790001,107.5,108.639999,106.336311,14558000
JPM,5/24/2019,109.519997,109.959999,109.190002,109.709999,107.383629,8537300
JPM,5/28/2019,109.199997,109.830002,108.440002,108.519997,106.218857,11665500
JPM,5/29/2019,107.449997,108.400002,107.059998,108.220001,105.925224,9966400
JPM,5/30/2019,108.650002,109.18,106.540001,107.059998,104.789818,10367800
JPM,5/31/2019,105.559998,106.589996,104.839996,105.959999,103.71315,10952800
JPM,6/3/2019,105.800003,106.860001,105.300003,106.459999,104.202538,11680700
JPM,6/4/2019,107.849998,109.900002,107.129997,109.739998,107.412987,12858600
JPM,6/5/2019,109.860001,110.379997,108.639999,110.129997,107.794716,8340500
JPM,6/6/2019,110.150002,110.870003,108.93,110.370003,108.029625,8726700
JPM,6/7/2019,109.699997,110.019997,108.959999,109.160004,106.845291,10618900
JPM,6/10/2019,110.75,111.209999,110.220001,110.339996,108.000259,11380600
JPM,6/11/2019,110.82,111.57,110.370003,110.68,108.333061,9847700
JPM,6/12/2019,110.699997,110.900002,108.889999,109.269997,106.95295,9669000
