Symbol,Date,Open,High,Low,Close,Adj Close,Volume
C,8/1/2019,70.669998,71.089996,67.599998,68.349998,66.914864,22571000
C,8/2/2019,67.610001,68.059998,66.629997,67.610001,66.688004,14693300
C,8/5/2019,65.599998,65.82,64.580002,65.18,64.291138,21144800
C,8/6/2019,66,66.330002,64.830002,66.25,65.34655,12411500
C,8/7/2019,64.629997,65.32,63.639999,65.139999,64.251686,18418300
C,8/8/2019,65.849998,66.790001,65.629997,66.739998,65.829865,13577900
C,8/9/2019,66.330002,66.57,65.209999,66.050003,65.149277,13604600
C,8/12/2019,64.610001,64.790001,63.84,64.239998,63.363956,12555100
C,8/13/2019,63.900002,65.959999,63.509998,64.830002,63.945915,19056700
C,8/14/2019,62.880001,63.040001,61.18,61.41,60.572556,29370700
C,8/15/2019,61.98,62.369999,60.720001,61.32,60.48378,16340400
C,8/16/2019,61.93,63.66,61.849998,63.48,62.614323,16450700
C,8/19/2019,64.82,64.910004,64.160004,64.309998,63.433002,13312700
C,8/20/2019,63.720001,64.080002,63.349998,63.419998,62.555141,9815800
C,8/21/2019,64.129997,64.169998,63.060001,63.25,62.387459,14692900
C,8/22/2019,63.810001,64.209999,63.41,63.91,63.03846,9718500
C,8/23/2019,63.279999,64.129997,61.52,61.950001,61.10519,17997900
C,8/26/2019,62.57,62.82,62.169998,62.720001,61.864689,10628800
C,8/27/2019,63.009998,63.099998,61.16,61.66,60.819141,17219300
C,8/28/2019,61.299999,62.799999,61.299999,62.360001,61.509598,12343500
C,8/29/2019,63.310001,64.230003,63.099998,63.900002,63.028599,11478200
C,8/30/2019,64.339996,64.82,64.190002,64.349998,63.472458,11844600
C,9/3/2019,64,64.040001,62.32,63.419998,62.555141,11991500
C,9/4/2019,64,64.480003,63.84,64.279999,63.403412,9689800
C,9/5/2019,65.650002,67.279999,65.610001,66.339996,65.435318,14723500
C,9/6/2019,66.190002,66.5,65.75,65.970001,65.070366,10476000
C,9/9/2019,66.760002,69.300003,66.690002,68.790001,67.851913,20193300
C,9/10/2019,69.18,70.010002,68.449997,68.980003,68.039322,18146200
C,9/11/2019,68.720001,69.209999,68.110001,68.900002,67.960411,11858800
C,9/12/2019,68.110001,70.059998,67.93,69.300003,68.354965,15528700
C,9/13/2019,70.339996,70.739998,69.849998,70.389999,69.430092,14313100
C,9/16/2019,68.959999,70.110001,68.959999,69.830002,68.877731,12063700
C,9/17/2019,69.779999,69.779999,68.669998,69.480003,68.532501,10916900
C,9/18/2019,69.209999,70.349998,68.959999,70.089996,69.134178,11234500
C,9/19/2019,70.059998,70.470001,69.589996,69.730003,68.779099,10069100
C,9/20/2019,70.150002,70.540001,69.330002,69.349998,68.404274,26002100
C,9/23/2019,68.620003,69.699997,68.610001,69.550003,68.601547,9546300
C,9/24/2019,69.5,69.57,67.559998,67.900002,66.974052,16801900
C,9/25/2019,67.910004,69.699997,67.870003,69.379997,68.433861,12243000
