Symbol,Date,Open,High,Low,Close,Adj Close,Volume
WFC,8/1/2019,48.41,48.639999,46.950001,47.060001,46.09494,22654400
WFC,8/2/2019,47.110001,47.610001,46.369999,47.439999,46.467144,20159000
WFC,8/5/2019,46.5,46.799999,45.849998,46.139999,45.193806,27113500
WFC,8/6/2019,46.610001,47.029999,45.82,46.93,45.967609,19446100
WFC,8/7/2019,46.07,46.150002,45.23,45.810001,44.870575,27830000
WFC,8/8/2019,45.689999,46.639999,45.549999,46.400002,45.960148,20671300
WFC,8/9/2019,46.02,46.66,45.75,46.299999,45.861095,19786100
WFC,8/12/2019,45.509998,45.91,45.330002,45.43,44.999344,16460500
WFC,8/13/2019,45.610001,46.419998,45.259998,45.959999,45.524319,16649100
WFC,8/14/2019,45.02,45.099998,43.939999,43.970001,43.553185,28786700
WFC,8/15/2019,44.299999,44.5,43.34,43.380001,42.968777,27900000
WFC,8/16/2019,43.740002,44.540001,43.630001,44.389999,43.9692,21196600
WFC,8/19/2019,45.130001,45.470001,44.93,45.25,44.821049,15378100
WFC,8/20/2019,45.040001,45.040001,44.630001,44.68,44.256454,13345800
WFC,8/21/2019,44.959999,45.279999,44.810001,45,44.573418,13513700
WFC,8/22/2019,45.330002,45.830002,45.060001,45.619999,45.187542,14703900
WFC,8/23/2019,45.200001,45.650002,44.09,44.419998,43.998917,21152500
WFC,8/26/2019,44.709999,45,44.490002,44.98,44.553608,15973100
WFC,8/27/2019,45.23,45.330002,44.43,44.75,44.32579,15038200
WFC,8/28/2019,44.639999,45.779999,44.490002,45.470001,45.038963,14740000
WFC,8/29/2019,46,46.490002,45.779999,46.189999,45.752136,16196600
WFC,8/30/2019,46.540001,46.900002,46.41,46.57,46.128536,15250600
WFC,9/3/2019,46.310001,46.34,45.48,46.09,45.653088,17224200
WFC,9/4/2019,46.540001,46.700001,46.279999,46.5,46.0592,17123100
WFC,9/5/2019,47.310001,48.169998,47.299999,47.619999,47.168583,19243400
WFC,9/6/2019,47.580002,47.77,47.099998,47.150002,46.703041,18846100
WFC,9/9/2019,47.32,48.639999,46.889999,48.41,47.951092,27651400
WFC,9/10/2019,48.07,48.93,48.07,48.310001,47.852043,25822400
WFC,9/11/2019,48.290001,48.98,47.790001,48.849998,48.386921,19190000
WFC,9/12/2019,48.52,49.080002,48.220001,48.650002,48.18882,24305900
WFC,9/13/2019,49.009998,49.360001,48.66,48.919998,48.456257,25142400
WFC,9/16/2019,48.459999,49,48.400002,48.98,48.51569,17759700
WFC,9/17/2019,48.700001,48.860001,48.310001,48.759998,48.297775,18346100
WFC,9/18/2019,48.630001,49.209999,48.43,48.93,48.466164,20511700
WFC,9/19/2019,48.990002,49.310001,48.869999,48.91,48.446354,16887500
WFC,9/20/2019,49.07,49.299999,48.610001,48.630001,48.16901,30229400
WFC,9/23/2019,48.32,49.09,48.310001,48.959999,48.49588,20603400
WFC,9/24/2019,48.98,49.220001,48.470001,48.650002,48.18882,21629300
